Year,CFADS_USD,Debt_Outstanding,Debt_Service,LLCR,PLCR
1,32565600.0,105000000.0,8006250.0,2.2919059516193405,2.2919059516193405
2,31322530.485436894,105000000.0,8006250.0,2.1799331182098465,2.1799331182098465
3,30122908.060703184,105000000.0,23171467.739002448,2.0697856344691123,2.0697856344691123
4,28965214.18673685,89834782.26099756,22280933.989797574,2.292264051090295,2.292264051090295
5,27847983.399627604,74403750.41860105,21421525.692021232,2.616209658858474,2.616209658858474
6,26769801.45556295,58655510.69599815,20592154.96581765,3.128241620158832,3.128241620158832
7,25729303.540611234,42535838.42075035,19791771.954316333,4.052833929958819,4.052833929958819
8,24725172.54307531,25987424.146016233,19019363.49467331,6.207907459732124,6.207907459732124
9,23756137.38622996,8949601.742476655,9632008.8753405,16.789862964096436,16.789862964096436
